x,y,houhold,phouhold
361300,7637300,8.13953488372093,4.186046511627907
361300,7637500,26.86046511627907,13.813953488372093
361500,7637300,21.818181818181817,6.363636363636363
361700,7637300,2.1818181818181817,0.6363636363636364
365500,7637300,3.4054054054054053,1.337837837837838
365300,7637300,24.594594594594593,9.662162162162161
367900,7637300,17.020833333333332,6.270833333333333
367700,7637300,1.9791666666666667,0.7291666666666666
371300,7637300,9.320754716981131,2.943396226415094
371100,7637300,9.679245283018869,3.056603773584906
371500,7637300,21.62962962962963,9.012345679012345
371500,7637500,2.3703703703703702,0.9876543209876543
371700,7637500,6.538461538461538,2.1794871794871793
371700,7637300,44.46153846153846,14.820512820512821
371900,7637300,26,7
372300,7637300,20,10
372700,7637300,0.8014440433212996,0.4007220216606498
372500,7637300,73.1985559566787,36.59927797833935
346300,7637500,9.454545454545455,2.909090909090909
346100,7637500,3.5454545454545454,1.0909090909090908
346500,7637500,26,5
346700,7637500,36,10
346900,7637500,88,48
347100,7637500,11,3
347700,7637500,19.5,0.9285714285714286
347900,7637500,1.5,0.07142857142857142
350700,7637500,5.62962962962963,1.9351851851851851
350700,7637700,3.259259259259259,1.1203703703703705
350900,7637500,23.11111111111111,7.944444444444445
351100,7637700,4.615384615384615,1.2692307692307692
351100,7637500,35.38461538461539,9.73076923076923
351300,7637500,44,17
351500,7637500,30,7
352100,7637500,7.414634146341464,1.853658536585366
352100,7637700,8.585365853658537,2.1463414634146343
353900,7637700,0.8372093023255814,0.3488372093023256
354100,7637700,1.3953488372093024,0.5813953488372093
353900,7637500,7.813953488372093,3.255813953488372
354100,7637500,1.9534883720930232,0.813953488372093
354300,7637500,9.241758241758241,2.5494505494505493
354500,7637500,8.923076923076923,2.4615384615384617
354700,7637500,10.835164835164836,2.989010989010989
355900,7637500,1.492537313432836,0.29850746268656714
355900,7637700,0.373134328358209,0.07462686567164178
355500,7637700,2.611940298507463,0.5223880597014925
355700,7637700,20.52238805970149,4.104477611940299
357100,7637500,12.6,5.6
357100,7637700,3.24,1.44
357500,7637500,1.44,0.64
357100,7637900,0.72,0.32
357900,7637500,10.666666666666666,3.0476190476190474
357900,7637700,1.3333333333333333,0.38095238095238093
357900,7637900,2,0.5714285714285714
361500,7637500,15.513761467889909,4.08256880733945
362100,7637700,1.7431192660550459,0.45871559633027525
362500,7637900,1.7431192660550459,0.45871559633027525
365300,7637500,23.058823529411764,9.882352941176471
365100,7637500,4.9411764705882355,2.1176470588235294
365500,7637500,11,8
367700,7637500,3.267326732673267,1.4158415841584158
367300,7637500,2.376237623762376,1.0297029702970297
367100,7637700,4.752475247524752,2.0594059405940595
367100,7637900,0.8910891089108911,0.38613861386138615
367700,7637700,1.4851485148514851,0.6435643564356436
